NumSimulations,PriceNaive,PriceAntithetic,PriceGBM
1000.00,3.24,3.12,2.92
1500.00,3.15,3.11,3.00
2000.00,3.02,3.06,2.93
2500.00,2.92,3.08,3.14
3000.00,3.23,3.07,3.25
3500.00,3.02,3.08,3.04
4000.00,3.02,3.07,3.10
4500.00,3.05,3.11,3.03
5000.00,3.01,3.02,3.27
5500.00,3.05,3.05,3.09
6000.00,3.23,3.12,3.16
6500.00,3.11,3.07,3.09
7000.00,3.03,3.09,2.94
7500.00,3.12,3.05,3.17
8000.00,2.99,3.10,2.95
8500.00,2.97,3.06,3.12
9000.00,3.08,3.10,3.11
9500.00,3.00,3.06,2.89
10000.00,3.07,3.04,3.10
10500.00,3.11,3.04,3.10
11000.00,3.16,3.06,3.08
11500.00,3.07,3.07,3.17
12000.00,3.05,3.07,3.04
12500.00,3.06,3.07,3.03
13000.00,3.11,3.12,3.11
13500.00,3.09,3.08,3.13
14000.00,3.00,3.05,3.07
14500.00,3.05,3.13,3.04
15000.00,3.09,2.99,3.07
15500.00,3.04,3.09,3.05
16000.00,3.03,3.08,3.01
16500.00,3.06,3.07,3.09
17000.00,3.06,3.07,3.11
17500.00,3.05,3.07,3.08
18000.00,3.08,3.06,3.02
18500.00,3.06,3.03,3.12
19000.00,3.05,3.05,3.07
19500.00,3.09,3.10,3.10
20000.00,3.12,3.09,3.09
20500.00,3.06,3.10,3.10
21000.00,3.10,3.09,3.07
21500.00,3.05,3.05,3.17
22000.00,3.11,3.02,3.02
22500.00,3.06,3.06,3.17
23000.00,3.12,3.08,3.06
23500.00,2.98,3.08,3.03
24000.00,3.09,3.08,3.08
24500.00,3.07,3.08,3.11
25000.00,3.10,3.06,3.07
25500.00,3.11,3.07,3.05
26000.00,3.07,3.10,3.13
26500.00,3.07,3.06,3.11
27000.00,3.07,3.05,3.07
27500.00,3.10,3.10,3.08
28000.00,3.05,3.06,3.09
28500.00,3.03,3.09,3.03
29000.00,3.03,3.11,3.06
29500.00,3.12,3.10,3.12
30000.00,3.05,3.08,3.02
30500.00,3.02,3.04,3.07
31000.00,3.04,3.08,3.06
31500.00,3.03,3.05,3.08
32000.00,3.03,3.07,3.15
32500.00,3.00,3.11,3.07
33000.00,3.09,3.08,3.05
33500.00,3.11,3.07,3.05
34000.00,3.08,3.09,3.07
34500.00,3.06,3.08,3.06
35000.00,3.06,3.04,3.08
35500.00,3.05,3.07,3.09
36000.00,3.04,3.09,3.04
36500.00,3.09,3.07,3.05
37000.00,3.05,3.09,3.11
37500.00,3.08,3.07,3.12
38000.00,3.06,3.07,3.07
38500.00,3.03,3.09,3.06
39000.00,3.07,3.09,3.05
39500.00,3.06,3.09,3.06
40000.00,3.04,3.06,3.03
40500.00,3.11,3.09,3.10
41000.00,3.10,3.07,3.11
41500.00,3.09,3.07,3.06
42000.00,3.05,3.05,3.06
42500.00,3.14,3.07,3.08
43000.00,3.06,3.09,3.05
43500.00,3.10,3.09,3.06
44000.00,3.09,3.09,3.06
44500.00,3.06,3.07,3.08
45000.00,3.05,3.07,3.08
45500.00,3.04,3.08,3.07
46000.00,3.08,3.10,3.09
46500.00,3.09,3.05,3.05
47000.00,3.04,3.07,3.05
47500.00,3.09,3.06,3.10
48000.00,3.07,3.09,3.01
48500.00,3.10,3.06,3.07
49000.00,3.11,3.08,3.12
49500.00,3.11,3.08,3.09
50000.00,3.05,3.07,3.07
50500.00,3.07,3.09,3.06
51000.00,3.06,3.07,3.08
51500.00,3.08,3.08,3.07
52000.00,3.09,3.09,3.05
52500.00,3.08,3.08,3.10
53000.00,3.08,3.03,3.06
53500.00,3.05,3.07,3.07
54000.00,3.12,3.06,3.07
54500.00,3.10,3.08,3.11
55000.00,3.10,3.08,3.06
55500.00,3.07,3.08,3.07
56000.00,3.06,3.05,3.06
56500.00,3.07,3.06,3.07
57000.00,3.09,3.06,3.13
57500.00,3.09,3.07,3.08
58000.00,3.08,3.08,3.04
58500.00,3.08,3.08,3.06
59000.00,3.08,3.07,3.07
59500.00,3.06,3.09,3.07
60000.00,3.11,3.06,3.10
60500.00,3.10,3.09,3.06
61000.00,3.07,3.10,3.06
61500.00,3.08,3.08,3.06
62000.00,3.04,3.07,3.10
62500.00,3.08,3.09,3.06
63000.00,3.05,3.07,3.07
63500.00,3.05,3.09,3.08
64000.00,3.07,3.07,3.13
64500.00,3.04,3.08,3.09
65000.00,3.08,3.08,3.13
65500.00,3.09,3.08,3.09
66000.00,3.10,3.08,3.06
66500.00,3.11,3.08,3.08
67000.00,3.01,3.06,3.02
67500.00,3.06,3.06,3.04
68000.00,3.06,3.08,3.09
68500.00,3.06,3.05,3.08
69000.00,3.06,3.07,3.06
69500.00,3.05,3.06,3.08
70000.00,3.11,3.09,3.05
70500.00,3.07,3.08,3.09
71000.00,3.06,3.09,3.11
71500.00,3.05,3.09,3.06
72000.00,3.07,3.08,3.04
72500.00,3.08,3.07,3.06
73000.00,3.11,3.09,3.05
73500.00,3.10,3.08,3.06
74000.00,3.08,3.08,3.05
74500.00,3.09,3.07,3.05
75000.00,3.11,3.07,3.06
75500.00,3.06,3.08,3.08
76000.00,3.09,3.06,3.09
76500.00,3.05,3.08,3.05
77000.00,3.07,3.06,3.08
77500.00,3.08,3.08,3.05
78000.00,3.07,3.09,3.05
78500.00,3.09,3.07,3.05
79000.00,3.07,3.07,3.07
79500.00,3.08,3.06,3.08
80000.00,3.10,3.07,3.08
80500.00,3.08,3.09,3.05
81000.00,3.08,3.07,3.03
81500.00,3.09,3.07,3.06
82000.00,3.05,3.08,3.06
82500.00,3.05,3.06,3.10
83000.00,3.07,3.07,3.10
83500.00,3.07,3.07,3.12
84000.00,3.06,3.09,3.08
84500.00,3.07,3.08,3.06
85000.00,3.07,3.05,3.06
85500.00,3.05,3.06,3.11
86000.00,3.05,3.07,3.08
86500.00,3.06,3.08,3.03
87000.00,3.09,3.09,3.09
87500.00,3.05,3.06,3.10
88000.00,3.04,3.09,3.08
88500.00,3.09,3.06,3.06
89000.00,3.08,3.07,3.08
89500.00,3.09,3.05,3.06
90000.00,3.09,3.08,3.03
90500.00,3.09,3.08,3.09
91000.00,3.07,3.09,3.05
91500.00,3.07,3.07,3.10
92000.00,3.04,3.09,3.06
92500.00,3.09,3.06,3.08
93000.00,3.08,3.07,3.06
93500.00,3.04,3.09,3.07
94000.00,3.08,3.06,3.08
94500.00,3.08,3.08,3.08
95000.00,3.07,3.07,3.11
95500.00,3.09,3.08,3.06
96000.00,3.05,3.06,3.08
96500.00,3.08,3.08,3.09
97000.00,3.09,3.07,3.06
97500.00,3.07,3.08,3.08
98000.00,3.08,3.07,3.09
98500.00,3.05,3.08,3.05
99000.00,3.11,3.07,3.07
99500.00,3.07,3.06,3.05
100000.00,3.07,3.08,3.09
